ivestas_pavadinimas,ivestas_kodas,rastas_pavadinimas,kodas,kodo_atitikimas,amzius,starto_data,vadovas,adresas,mobilus_telefonas,tinklalapis
VšĮ Vilko būrys,306726758,"Vilko būrys, VšĮ",306726758,TAIP,1 metai 11 mėnesių 4 dienos,2024-04-18,"Toma Bružaitė, direktorė","Gervių g. 4A, Pauliškių k., Trakų r.",+370 686 98358,
Sailing Luka VšĮ,306726434,"Sailing Luka, VšĮ",306726434,TAIP,1 metai 11 mėnesių 4 dienos,2024-04-18,"Vytautas Juškevičius, vadas","Svajonių g. 3A, Dembavos k., Panevėžio r.",+370 612 01313,
"Asociacija ""Gyvoji Žinia""",306726384,"Gyvoji Žinia, asociacija",306726384,TAIP,1 metai 11 mėnesių 4 dienos,2024-04-18,"Vitalijus Sokolovas, direktorius","Geležinkelio g. 32-14, Lentvaris, LT-25116 Trakų r.",+370 610 27365,
Valstybinės teritorijų planavimo ir statybos inspekcijos profesinė sąjunga,306726167,Valstybinės teritorijų planavimo ir statybos inspekcijos profesinė sąjunga,306726167,TAIP,1 metai 11 mėnesių 5 dienos,2024-04-17,"Rūta Biskelionienė, pirmininkas","A. Vienuolio g. 8, LT-01104 Vilnius",+370 672 29039,
KLAIPĖDOS AVIACIJOS VETERANŲ ASOCIACIJA,306726142,KLAIPĖDOS AVIACIJOS VETERANŲ asociacija,306726142,TAIP,1 metai 11 mėnesių 5 dienos,2024-04-17,"Algimantas Juozapas Kiškis, direktorius","I. Simonaitytės g. 10-15, LT-95131 Klaipėda",+370 686 45624,
"VšĮ Vilniaus krepšinio klubas ""Feniksas""",306726135,"Vilniaus krepšinio klubas ""Feniksas"", VšĮ",306726135,TAIP,1 metai 11 mėnesių 5 dienos,2024-04-17,"Inga Dunčienė, direktorė","Arnavos g. 8, LT-06283 Vilnius",+370 650 63465,
"Rokiškio klubas ""Adrenalino karuselė""",306725624,"Rokiškio klubas ""Adrenalino karuselė""",306725624,TAIP,1 metai 11 mėnesių 5 dienos,2024-04-17,"Karolis Šešelgis, direktorius","Aukštaičių g. 4-21, LT-42130 Rokiškis",+370 671 86816,
VšĮ Du velnio tuzinai,306725485,"Du velnio tuzinai, VšĮ",306725485,TAIP,1 metai 11 mėnesių 6 dienos,2024-04-16,"Ernestas Adomaitis, pirmininkas","V. Zatorskio g. 28, LT-45405 Kaunas",+370 698 49090,
"Asociacija ""Medžiotojų namai""",306725414,"Medžiotojų namai, asociacija",306725414,TAIP,1 metai 11 mėnesių 6 dienos,2024-04-16,"Miroslav Kviatkovskij, prezidentas","Virginijaus Druskio g. 10-232, LT-04304 Vilnius",+370 671 26704,
VšĮ Bėk greičiau,306725072,"Bėk greičiau, VšĮ",306725072,TAIP,1 metai 11 mėnesių 7 dienos,2024-04-15,"Liucina Subač, pirmininkas","Savanorių pr. 74, LT-03148 Vilnius",+370 652 73200,
VšĮ Knygų ekspertų kovos,306724853,"Knygų ekspertų kovos, VšĮ",306724853,TAIP,1 metai 11 mėnesių 7 dienos,2024-04-15,"Areta Tamošaitienė, direktorė","Serviso g. 15, LT-92335 Klaipėda",+370 610 68405,
"VšĮ ""Naujiniai racing""",306724725,"Naujiniai racing, VšĮ",306724725,TAIP,1 metai 11 mėnesių 6 dienos,2024-04-16,"Rolandas Vasiliauskas, direktorius","A. Jonyno g. 23-18, LT-62366 Alytus",+370 658 00253,
Matučio labdaros ir paramos fondas,306724629,Matučio labdaros ir paramos fondas,306724629,TAIP,1 metai 11 mėnesių 5 dienos,2024-04-17,"Milda Kromelytė, direktorė","Darbininkų g. 35-2, LT-99171 Šilutė",+370 605 71240,
VšĮ Gazuojam,306724579,"Gazuojam, VšĮ",306724579,TAIP,1 metai 11 mėnesių 7 dienos,2024-04-15,,"Vėluvos g. 15, LT-92196 Klaipėda",+370 678 18705,
"Palangos m., Genio g.52 svečių namų savininkų bendrija",306724287,"Palangos m., Genio g.52 svečių namų savininkų bendrija",306724287,TAIP,1 metai 11 mėnesių 7 dienos,2024-04-15,"Nerijus Šarnas, pirmininkas","Genio g. 52, LT-00187 Palanga",+370 685 59192,
AVS Vilnius,306724084,AVS Vilnius,306724084,TAIP,1 metai 11 mėnesių 10 dienų,2024-04-12,"Saulius Liumparas, direktorius","V. Nagevičiaus g. 3, LT-08237 Vilnius",+370 677 52743,
Larisos Balkienės labdaros ir paramos fondas,306723947,Larisos Balkienės labdaros ir paramos fondas,306723947,TAIP,1 metai 11 mėnesių 10 dienų,2024-04-12,"Linas Balkė, direktorius","Perkūnkiemio g. 13-91, LT-12114 Vilnius",+370 608 97681,
"Labdaros ir paramos fondas ""Sergii Fund""",306723694,"Sergii Fund, labdaros ir paramos fondas",306723694,TAIP,1 metai 11 mėnesių 7 dienos,2024-04-15,,"Eduardo Andrė g. 14-5, LT-02232 Vilnius",+370 645 12422,
"Gyvenamųjų laivų asociacija ""Houseboat""",306723452,"Gyvenamųjų laivų asociacija ""Houseboat""",306723452,TAIP,1 metai 11 mėnesių 7 dienos,2024-04-15,"Antanas Čepys, direktorius","Galinio Pylimo g. 5-17, Klaipėda",+370 616 84298,
ŠEIMŲ FEDERACIJA UŽ TAIKĄ IR VIENYBĘ PASAULYJE,306723000,ŠEIMŲ FEDERACIJA UŽ TAIKĄ IR VIENYBĘ PASAULYJE,306723000,TAIP,1 metai 11 mėnesių 10 dienų,2024-04-12,"Aram Karagezian, prezidentas","Pylimo g. 21-1A, Vilnius",+370 698 22330,
"Labdaros ir paramos fondas ""Kartu su Una Mari""",306722966,"Kartu su Una Mari, labdaros ir paramos fondas",306722966,TAIP,1 metai 11 mėnesių 10 dienų,2024-04-12,"Sigita Šimkutė-Kubilienė, direktorė","Vidurdienio g. 27, LT-00104 Palanga",+370 683 17082,
Fitbokso projektai,306722902,Fitbokso projektai,306722902,TAIP,1 metai 11 mėnesių 11 dienų,2024-04-11,"Martynas Grenda, direktorius","Perkūnkiemio g. 13-91, LT-12114 Vilnius",+370 604 47545,http://www.fitboksas.lt
VšĮ Nemuno slėnio projektai,306722838,"Nemuno slėnio projektai, VšĮ",306722838,TAIP,1 metai 11 mėnesių 11 dienų,2024-04-11,"Laura Obelevičiūtė-Kasputienė, direktorė","Kampiškių g. 8, LT-59107 Birštonas",+370 668 88684,
"VšĮ ""Būti kitokiu""",306722329,"Būti kitokiu, VšĮ",306722329,TAIP,1 metai 11 mėnesių 11 dienų,2024-04-11,"Kristina Damulienė, direktorė","Tauralaukio g. 4-2, LT-92347 Klaipėda",+370 677 99509,
VŠĮ Efortas ActiveLife,306721768,VŠĮ Efortas ActiveLife,306721768,TAIP,1 metai 11 mėnesių 10 dienų,2024-04-12,"Rokas Ivaškevičius, direktorius","Balandžių g. 52-1, Geležių k., LT-14168 Vilniaus r.",+370 632 60019,
"Asociacija ""3 strėlės""",306721693,"3 strėlės, asociacija",306721693,TAIP,1 metai 11 mėnesių 11 dienų,2024-04-11,Gitana Šalaševičienė,"Nemuno g. 18, Radžiūnų k., LT-62181 Alytaus r.",+370 614 34444,
Parkinsono ligos ir judėjimo sutrikimų asociacija,306721519,Parkinsono ligos ir judėjimo sutrikimų asociacija,306721519,TAIP,1 metai 11 mėnesių 10 dienų,2024-04-12,"Rūta Kaladytė Lokominienė, prezidentas","Bajorų Sodų 10-oji g. 7, LT-08426 Vilnius",+370 616 18957,
VšĮ Ukrainos širdis,306721234,"Ukrainos širdis, VšĮ",306721234,TAIP,1 metai 11 mėnesių 12 dienų,2024-04-10,"Olha Saienko, direktorė","Smilgų g. 16, Neveronių k., LT-54478 Kauno r.",+370 676 91331,
VšĮ Jonas Triatlonas,306721191,"Jonas Triatlonas, VšĮ",306721191,TAIP,1 metai 11 mėnesių 12 dienų,2024-04-10,"Jonas Mumgaudis, direktorius","Algirdo g. 85-67, LT-03209 Vilnius",+370 616 17662,
VšĮ Atminties tiltai,306721056,"Atminties tiltai, VšĮ",306721056,TAIP,1 metai 11 mėnesių 13 dienų,2024-04-09,"Rūta Matimaitytė, direktorė","Meistrų g. 14, Norkaičių k., LT-72177 Tauragės r.",+370 655 50828,
"VšĮ ""Prieglauda 51""",306720812,"Prieglauda 51, VšĮ",306720812,TAIP,1 metai 11 mėnesių 13 dienų,2024-04-09,"Kęstutis Ščevinskas, direktorius","Panerių g. 51, R1, LT-48334 Kaunas",+370 698 13385,
VšĮ KadManDu,306720627,"Kadmandu, VšĮ",306720627,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,"Dalia Andruliavičienė, direktorė","Žirgų g. 21B, LT-62372 Alytus",+370 671 15498,
"Asociacija ""Savanoriškos paramos būrys""",306720456,"Savanoriškos paramos būrys, asociacija",306720456,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,Darius Gudelis,"Centrinė g. 22, Ramučių k., Kauno r.",+370 657 43980,
VšĮ Anykščiai Kviečia,306720285,"Anykščiai Kviečia, VšĮ",306720285,TAIP,1 metai 11 mėnesių 13 dienų,2024-04-09,"Gerda Feiferytė, administratorius","A. Baranausko a. 14-2, LT-29132 Anykščiai",+370 608 69850,
Nojuko labdaros ir paramos fondas,306720239,Nojuko labdaros ir paramos fondas,306720239,TAIP,1 metai 11 mėnesių 13 dienų,2024-04-09,"Irmantas Verenius, direktorius","Gabijos g. 38-27, LT-06157 Vilnius",+370 640 64888,
"Labdaros ir paramos fondas ""Egilės labdaros ir paramos fondas - laimė mažose rankytėse""",306720196,"Egilės labdaros ir paramos fondas-laimė mažose rankytėse, labdaros ir paramos fondas",306720196,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,"Viktorija Pulkienė, direktorė","Vyturių g. 93-2, LT-77122 Šiauliai",+370 657 63640,
Širvintų krašto ūkininkų sąjunga,306720164,Širvintų krašto ūkininkų sąjunga,306720164,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,"Mindaugas Staniulis, pirmininkas","Vilniaus g. 61, Širvintos",+370 622 37266,
"Labdaros ir paramos fondas ""Supratimas""",306719913,"Supratimas, labdaros ir paramos fondas",306719913,TAIP,1 metai 11 mėnesių 12 dienų,2024-04-10,"Diana Gluchačiova, direktorė","Liepų al. 11-2, Vėliučionių k., LT-13130 Vilniaus r.",+370 676 63255,
VšĮ Viva VU,306719849,"Viva VU, VšĮ",306719849,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,,"Upės g. 23-1, LT-08128 Vilnius",+370 610 03558,
"VšĮ ""Jameson racing""",306719429,"Jameson racing, VšĮ",306719429,TAIP,1 metai 11 mėnesių 17 dienų,2024-04-05,"Gediminas Bilinskas, direktorius","Sakalo g. 5, Vijūkų k., LT-54306 Kauno r.",+370 618 50877,
"Labdaros ir paramos fondas ""Mažoji Izabela""",306719023,"Mažoji Izabela, labdaros ir paramos fondas",306719023,TAIP,1 metai 11 mėnesių 17 dienų,2024-04-05,"Jūratė Griciūtė, direktorė","Gamyklos g. 31-11, LT-89103 Mažeikiai",+370 628 76791,
"Asociacija ""Ukraina širdyje""",306718957,"Ukraina širdyje, asociacija",306718957,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,"Lyudmyla Pelykh-Paliyenko, direktorė","P. Mašioto g. 45, Pakruojis",+370 678 59410,
Iniciatyvių tėvų asociacija,306718722,Iniciatyvių tėvų asociacija,306718722,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,"Bronė Jurgutienė, pirmininkas","Laisvės g. 28, Darbėnai, LT-97264 Kretingos r.",+370 611 56261,
"Sporto klubas ""Žuvintas""",306718366,"Sporto klubas ""Žuvintas""",306718366,TAIP,1 metai 11 mėnesių 18 dienų,2024-04-04,"Simona Neveckienė, pirmininkas","Pavasario g. 15-5, Simnas, Alytaus r.",+370 692 68291,
Debesėlių labdaros ir paramos fondas,306718028,Debesėlių labdaros ir paramos fondas,306718028,TAIP,1 metai 11 mėnesių 17 dienų,2024-04-05,"Asta Ruzgienė, direktorė","Žirmūnų g. 43-15, LT-09106 Vilnius",+370 600 42251,
"Jėgos sporto klubas ""Troja""",306717969,"Jėgos sporto klubas ""Troja""",306717969,TAIP,1 metai 11 mėnesių 19 dienų,2024-04-03,"Arvydas Mišeikis, prezidentas","Stadiono g. 3-15, LT-85374 Akmenė",+370 626 22358,
"Smiginio sporto klubas ""Rokiškio Grandai""",306717766,"Smiginio sporto klubas ""Rokiškio Grandai""",306717766,TAIP,1 metai 11 mėnesių 17 dienų,2024-04-05,"Žilvinas Kirstukas, direktorius","Biržupio g. 10, Lašų k., LT-42256 Rokiškio r.",+370 656 76775,
Patricijos labdaros ir paramos fondas,306717620,Patricijos labdaros ir paramos fondas,306717620,TAIP,1 metai 11 mėnesių 14 dienų,2024-04-08,"Gustė Jarmalavičiūtė, direktorė","Berželių g. 8-2, Užtiltės k., LT-32303 Zarasų r.",+370 674 09773,
"VšĮ ""Raliste racing""",306717613,"Raliste racing, VšĮ",306717613,TAIP,1 metai 11 mėnesių 17 dienų,2024-04-05,"Virginija Kėdžiutė, direktorė","Aukštabalio g. 4-71, LT-78175 Šiauliai",+370 675 64221,
Gyčio Žiliaus labdaros ir paramos fondas,306717563,Gyčio Žiliaus labdaros ir paramos fondas,306717563,TAIP,1 metai 11 mėnesių 5 dienos,2024-04-17,"Joana Žilienė, direktorė","Ruklio g. 2-60, Rukla, LT-55288 Jonavos r.",+370 670 07832,
VšĮ Juodasis adrenalinas,306717481,"Juodasis adrenalinas, VšĮ",306717481,TAIP,1 metai 11 mėnesių 18 dienų,2024-04-04,"Saulius Džiaugys, direktorius","Gedimino g. 22A-14, LT-44319 Kaunas",+370 655 88818,
Stalo žaidimų klubas Game Haven,306717289,Stalo žaidimų klubas Game Haven,306717289,TAIP,1 metai 11 mėnesių 19 dienų,2024-04-03,"Paulius Kondrotas, pirmininkas","Garso g. 3-1, LT-47454 Kaunas",+370 615 97722,https://rikis.lt/
VšĮ HUNTER TREK,306717200,"HUNTER TREK, VšĮ",306717200,TAIP,1 metai 11 mėnesių 19 dienų,2024-04-03,Linas Vaičekauskas,"Kalno g. 3, Kuršėnai, LT-81142 Šiaulių r.",+370 600 30310,
VšĮ Gyvybės Spalvos,306717022,"Gyvybės Spalvos, VšĮ",306717022,TAIP,1 metai 11 mėnesių 20 dienų,2024-04-02,"Jonas Gustainis, direktorius","Smolensko g. 35-45, LT-03201 Vilnius",+370 627 31364,
"VšĮ ""Ib Racing""",306716575,"Ib Racing, VšĮ",306716575,TAIP,1 metai 11 mėnesių 18 dienų,2024-04-04,"Ignas Bralkovskis, direktorius","Miškininkų g. 4, LT-28138 Utena",+370 628 51361,
"VšĮ ""Two Wheels Empire Racing""",306716550,"Two Wheels Empire Racing, VšĮ",306716550,TAIP,1 metai 11 mėnesių 19 dienų,2024-04-03,"Mantas Radvila, direktorius","Draugystės g. 17-1, LT-51229 Kaunas",+370 679 64423,
"Paramos fondas ""Ateities talentai""",306716511,"Paramos fondas ""Ateities talentai""",306716511,TAIP,1 metai 11 mėnesių 17 dienų,2024-04-05,"Rasa Kruopaitė-Lalienė, direktorė","Rudens g. 5, Didžiasalio k., LT-13264 Vilniaus r.",+370 659 55460,
Jorio labdaros ir paramos fondas,306716194,Jorio labdaros ir paramos fondas,306716194,TAIP,1 metai 11 mėnesių 13 dienų,2024-04-09,"Agnė Armalienė, direktorė","Beržų g. 12, Linkaičių k., LT-84288 Joniškio r.",+370 673 38019,
Peletrūnų skydo mokymai,306716098,Peletrūnų skydo mokymai,306716098,TAIP,1 metai 11 mėnesių 20 dienų,2024-04-02,,"Jaunimo g. 11-21, LT-63310 Alytus",,
Vyrų fizinė ir psichologinė gerinimo brolija,306715911,Vyrų fizinė ir psichologinė gerinimo brolija,306715911,TAIP,1 metai 11 mėnesių 20 dienų,2024-04-02,,"Girulių g. 10, LT-12112 Vilnius",,
"Labdaros ir paramos fondas ""Beno viltis""",306714955,"Beno viltis, labdaros ir paramos fondas",306714955,TAIP,1 metai 11 mėnesių 24 dienos,2024-03-29,"Vaiva Stravinskienė, direktorė","T. Ivanausko g. 105, LT-46304 Kaunas",+370 698 73557,
Wargamer klubas,306714923,Wargamer klubas,306714923,TAIP,1 metai 11 mėnesių 24 dienos,2024-03-29,"Daniel Bogdanovič, direktorius","Konstitucijos pr. 9-79, LT-09308 Vilnius",+370 682 43546,
VšĮ Joga Kartu,306714243,"Joga Kartu, VšĮ",306714243,TAIP,1 metai 11 mėnesių 24 dienos,2024-03-29,"Gintaras Skadas, direktorius","Rasytės g. 20-44, LT-48120 Kaunas",+370 670 13634,https://jogakartu.lt
Medflow institutas,306713928,Medflow institutas,306713928,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Kristina Kripaitienė, direktorė","Šeškinės g. 45C-13, LT-07158 Vilnius",+370 628 72842,
VšĮ Lizdeika,306713757,"Lizdeika, VšĮ",306713757,TAIP,1 metai 11 mėnesių 27 dienos,2024-03-29,,"A. Goštauto g. 8-111, LT-01108 Vilnius",+370 000 00000,
Ekonomikos ir inovacijų ministerijos darbuotojų profesinė sąjunga,306713497,Ekonomikos ir inovacijų ministerijos darbuotojų profesinė sąjunga,306713497,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Marius Gorochovskis, pirmininkas","Gedimino pr. 38, LT-01104 Vilnius",+370 659 21821,
VšĮ Meninės pramogos,306713255,"Meninės pramogos, VšĮ",306713255,TAIP,1 metai 11 mėnesių 24 dienos,2024-03-29,,"Zietelos g. 4, LT-03160 Vilnius",-,
"Aktyvaus laisvalaikio mėgėjų klubas ""JUDĖK""",306713223,"Aktyvaus laisvalaikio mėgėjų klubas ""JUDĖK""",306713223,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Paulius Žvinys, pirmininkas","Buivydiškių g. 11-39, LT-07177 Vilnius",+370 671 31615,
VšĮ Giminės medis,306713091,"Giminės medis, VšĮ",306713091,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Aurelija Račkauskienė, direktorė","Vilniaus g. 138-9, LT-76296 Šiauliai",+370 676 37703,
VšĮ LosFaveleros,306712954,"Losfaveleros, VšĮ",306712954,TAIP,1 metai 11 mėnesių 12 dienų,2024-04-10,"Ignas Dudonis, prezidentas","Džiaugsmo g. 108, LT-11302 Vilnius",+370 650 75536,
"Asociacija ""Bendrumo galia""",306712737,"Bendrumo galia, asociacija",306712737,TAIP,1 metai 11 mėnesių 25 dienos,2024-03-28,"Eglė Šimkevičienė, pirmininkas","Vytauto g. 127-7, LT-77162 Šiauliai",+370 682 54846,
